,adult,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
55,False,28000000,http://www.indianajones.com,87,tt0087469,en,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",25.32,1984-05-23,333000000,118,Released,If adventure has a name... it must be Indiana Jones.,Indiana Jones and the Temple of Doom,7.3,6299
56,False,6000000,http://lionsgateathome.com/dirty-dancing,88,tt0092890,en,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",27.199,1987-08-21,213893795,100,Released,Have the time of your life.,Dirty Dancing,7.4,4337
57,False,48000000,http://www.indianajones.com/crusade,89,tt0097576,en,Indiana Jones and the Last Crusade,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",27.508,1989-05-24,474171806,127,Released,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,7.8,6917
58,False,14000000,https://www.paramount.com/movies/beverly-hills-cop,90,tt0086960,en,Beverly Hills Cop,"Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder, but soon realizes he's stumbled onto something much more complicated. Bungling rookie detective, Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.",17.357,1984-11-30,316360478,105,Released,The Heat Is On!,Beverly Hills Cop,7.2,2583
59,False,0,,91,tt0023037,es,Las Hurdes,"An exploration —manipulated and staged— of life in Las Hurdes, in the province of Cáceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. (Silent short, voiced in 1937 and 1996.)",5.443,1933-12-01,0,29,Released,,Land Without Bread,7.1,90
60,False,0,,92,tt0169024,en,Megacities,Megacities is a documentary about the slums of five different metropolitan cities.,2.08,1998-08-12,0,94,Released,,Megacities,7.3,8
61,False,2000000,,93,tt0052561,en,Anatomy of a Murder,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",9.87,1959-07-01,8000000,161,Released,"No search of human emotions has ever probed so deeply, so truthfully as… Anatomy of a Murder.",Anatomy of a Murder,7.9,524
62,False,0,,94,tt0436488,en,Kunstgriff,Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film.,0.871,2002-01-01,0,6,Released,,Kunstgriff,10.0,1
63,False,140000000,,95,tt0120591,en,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",28.609,1998-07-01,553799566,151,Released,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.8,5597
64,False,28000000,https://www.paramount.com/movies/beverly-hills-cop-ii,96,tt0092644,en,Beverly Hills Cop II,"Axel heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on.",18.459,1987-05-18,299965036,103,Released,The Heat's Back On!,Beverly Hills Cop II,6.4,1508
65,False,17000000,,97,tt0084827,en,Tron,"As Kevin Flynn searches for proof that he invented a hit video game, he is 'digitalized' by a laser and finds himself inside 'The Grid', where programs suffer under the tyrannical rule of the Master Control Program (MCP). With the help of a security program called 'TRON', Flynn seeks to free The Grid from the MCP.",23.175,1982-07-09,33000000,96,Released,A world inside the computer where man has never been.  Until now.,Tron,6.6,1430
66,False,103000000,,98,tt0172495,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",44.506,2000-05-01,465361176,155,Released,A Hero Will Rise.,Gladiator,8.2,12856
67,False,8272296,,99,tt0185125,es,Todo sobre mi madre,"A single mother in Madrid sees her only son die on his birthday as he runs to seek an actress' autograph. Beside herself with grief, she returns to Barcelona to tell the boy's father about the death of the son he never knew he had.",10.089,1999-04-19,67872296,101,Released,Part of every woman is a mother/actress/saint/sinner. And part of every man is a woman.,All About My Mother,7.7,1135
