,movie_id,genres_id
562,tt0088015,10751
563,tt0372784,28
564,tt0372784,80
565,tt0372784,18
566,tt0276617,18
567,tt0102926,80
568,tt0102926,18
569,tt0102926,53
570,tt0102926,27
571,tt0116282,80
572,tt0116282,18
573,tt0116282,53
574,tt0408777,18
575,tt0408777,35
576,tt0320691,14
577,tt0320691,28
578,tt0320691,53
579,tt0111161,18
580,tt0111161,80
581,tt0086879,18
582,tt0086879,36
583,tt0086879,10402
584,tt0086879,35
585,tt0103064,28
586,tt0103064,53
587,tt0103064,878
588,tt0114558,80
589,tt0114558,18
590,tt0114558,878
591,tt0114558,53
592,tt0053604,35
593,tt0053604,18
594,tt0053604,10749
595,tt0449088,12
596,tt0449088,14
597,tt0449088,28
598,tt0094812,35
599,tt0094812,10749
600,tt0044706,37
601,tt0044706,53
602,tt0044706,18
603,tt0034583,18
604,tt0034583,10749
605,tt0101410,35
606,tt0101410,18
607,tt0105265,18
608,tt0089015,18
609,tt0089015,10749
610,tt0181852,28
611,tt0181852,53
612,tt0181852,878
613,tt0119643,14
614,tt0119643,18
615,tt0119643,10749
616,tt0496806,80
617,tt0496806,53
618,tt0054135,35
619,tt0054135,80
620,tt0054135,10402
621,tt0054135,53
622,tt0354899,35
623,tt0354899,18
624,tt0354899,14
625,tt0053221,37
626,tt0324133,80
627,tt0324133,53
628,tt0038787,53
629,tt0038787,18
630,tt0038787,10749
631,tt0109254,28
632,tt0109254,35
633,tt0109254,80
634,tt0038890,18
635,tt0038890,36
636,tt0412019,35
637,tt0412019,18
638,tt0412019,9648
639,tt0412019,10749
640,tt0154420,18
641,tt0315327,14
642,tt0315327,35
643,tt0087843,18
644,tt0087843,80
645,tt0116692,18
646,tt0448124,10749
647,tt0448124,18
648,tt0327554,28
649,tt0327554,14
650,tt0327554,9648
651,tt0059170,28
652,tt0059170,80
653,tt0059170,35
654,tt0304126,35
655,tt0304126,18
656,tt0464029,18
657,tt0464029,36
658,tt0120753,18
659,tt0120753,53
660,tt0108399,28
661,tt0108399,53
662,tt0108399,80
663,tt0108399,10749
664,tt0278504,80
665,tt0278504,9648
666,tt0278504,53
667,tt0330602,35
668,tt0330602,10749
669,tt0327056,53
670,tt0327056,80
671,tt0327056,18
672,tt0327056,9648
673,tt0417148,28
674,tt0417148,80
675,tt0417148,53
676,tt0417148,18
677,tt0417148,9648
678,tt0222851,80
679,tt0222851,18
680,tt0222851,53
681,tt0107290,12
682,tt0107290,878
683,tt0119567,12
684,tt0119567,28
685,tt0119567,878
686,tt0163025,12
687,tt0163025,28
688,tt0163025,53
689,tt0163025,878
690,tt0141369,28
691,tt0141369,12
692,tt0141369,35
693,tt0141369,10751
694,tt0303785,35
695,tt0303785,18
696,tt0303785,10402
697,tt0303785,10749
698,tt0175880,18
699,tt0064116,37
700,tt0067140,37
701,tt0329388,18
702,tt0301357,35
703,tt0301357,18
704,tt0102536,35
705,tt0102536,18
706,tt0404030,35
707,tt0404030,18
708,tt0489010,80
709,tt0420206,35
710,tt0420206,18
711,tt0067185,35
712,tt0067185,18
713,tt0067185,10749
714,tt0135790,80
715,tt0135790,28
716,tt0135790,35
717,tt0120663,18
718,tt0120663,53
719,tt0120663,9648
720,tt0047478,28
721,tt0047478,18
722,tt0020163,18
723,tt0078748,27
724,tt0078748,878
725,tt0428430,35
726,tt0458352,35
727,tt0458352,18
728,tt0458352,10749
729,tt0416213,18
730,tt0347048,18
731,tt0347048,10749
732,tt0103776,28
733,tt0103776,14
734,tt0087800,27
735,tt0093822,35
736,tt0093822,80
737,tt0100150,18
738,tt0100150,53
739,tt0100150,80
740,tt0095953,18
741,tt0048728,80
742,tt0048728,18
743,tt0048728,9648
744,tt0048728,10749
745,tt0048728,53
746,tt0089537,18
747,tt0082096,18
748,tt0082096,36
749,tt0082096,10752
750,tt0454848,80
751,tt0454848,18
752,tt0454848,53
753,tt0050083,18
754,tt0110361,18
755,tt0110361,10402
756,tt0058461,37
757,tt0241303,35
758,tt0241303,18
759,tt0241303,10749
760,tt0378194,28
761,tt0378194,80
762,tt0378194,53
763,tt0370263,12
764,tt0370263,878
765,tt0370263,28
766,tt0370263,27
767,tt0061184,18
768,tt0113117,35
769,tt0113117,10749
770,tt0379725,80
771,tt0379725,18
772,tt0114660,18
773,tt0114660,80
774,tt0333766,35
775,tt0333766,18
776,tt0333766,10749
777,tt0103772,53
778,tt0103772,9648
779,tt0097239,18
780,tt0166896,18
781,tt0047528,18
782,tt0113247,18
783,tt0162426,18
784,tt0162426,53
785,tt0029583,14
786,tt0029583,16
787,tt0029583,10751
788,tt0116209,18
789,tt0116209,10749
790,tt0116209,10752
791,tt0477877,35
792,tt0477877,18
793,tt0363771,12
794,tt0363771,10751
795,tt0363771,14
796,tt0112462,28
797,tt0112462,80
798,tt0112462,14
799,tt0118688,878
800,tt0118688,28
801,tt0118688,14
802,tt0383041,35
803,tt0383041,18
804,tt0362270,12
805,tt0362270,35
806,tt0362270,18
807,tt0056801,14
808,tt0056801,18
809,tt0253474,18
810,tt0253474,10752
811,tt0108052,18
812,tt0108052,36
