,imdb_id,director_id
204,tt0023469,128
205,tt0023551,129
206,tt0023563,24
207,tt0023622,13
208,tt0023629,91
209,tt0023634,130
210,tt0023649,69
211,tt0023694,131
212,tt0023753,105
213,tt0023775,111
214,tt0023814,109
215,tt0023817,132
216,tt0023817,133
217,tt0023818,134
218,tt0023969,135
219,tt0024025,136
220,tt0024028,137
221,tt0024034,137
222,tt0024055,138
223,tt0024067,38
224,tt0024069,91
225,tt0024151,139
226,tt0024166,140
227,tt0024183,122
228,tt0024184,100
229,tt0024188,141
230,tt0024216,142
231,tt0024216,121
232,tt0024262,103
233,tt0024353,143
234,tt0024368,116
235,tt0024435,129
236,tt0024481,96
237,tt0024500,144
238,tt0024516,145
239,tt0024554,146
240,tt0024561,147
241,tt0024617,148
242,tt0024852,149
243,tt0024852,150
244,tt0024854,151
245,tt0024894,152
246,tt0024895,153
247,tt0024914,46
248,tt0024968,154
249,tt0025009,155
250,tt0025009,156
251,tt0025164,157
252,tt0025316,109
253,tt0025318,105
254,tt0025335,55
255,tt0025440,144
256,tt0025452,54
257,tt0025464,129
258,tt0025464,158
259,tt0025465,159
260,tt0025619,160
261,tt0025699,161
262,tt0025746,66
263,tt0025748,162
264,tt0025762,163
265,tt0025862,164
266,tt0025862,165
267,tt0025878,129
268,tt0025919,126
269,tt0025965,166
270,tt0026029,54
271,tt0026123,153
272,tt0026129,86
273,tt0026138,100
274,tt0026174,116
275,tt0026197,167
276,tt0026198,168
277,tt0026198,169
278,tt0026199,170
279,tt0026252,171
280,tt0026393,172
281,tt0026416,173
282,tt0026452,174
283,tt0026564,78
284,tt0026663,123
285,tt0026685,51
286,tt0026714,175
287,tt0026714,176
288,tt0026739,177
289,tt0026740,178
290,tt0026752,179
291,tt0026759,180
292,tt0026819,181
293,tt0026846,182
294,tt0026895,125
295,tt0026912,183
296,tt0026942,184
297,tt0027067,185
298,tt0027075,93
299,tt0027075,186
300,tt0027087,144
301,tt0027125,157
302,tt0027131,187
303,tt0027189,41
304,tt0027194,188
305,tt0027260,129
306,tt0027407,172
307,tt0027439,151
308,tt0027440,189
309,tt0027441,189
310,tt0027442,190
311,tt0027521,51
312,tt0027527,184
313,tt0027532,191
314,tt0027545,192
315,tt0027623,193
316,tt0027623,194
317,tt0027630,157
318,tt0027652,24
319,tt0027800,192
320,tt0027824,195
321,tt0027869,196
322,tt0027884,93
323,tt0027893,197
324,tt0027938,198
325,tt0027977,23
326,tt0027996,109
327,tt0028010,199
328,tt0028074,200
329,tt0028096,86
330,tt0028120,122
331,tt0028138,201
332,tt0028174,131
333,tt0028181,202
334,tt0028212,54
335,tt0028219,175
336,tt0028231,54
337,tt0028249,100
338,tt0028315,184
339,tt0028333,203
340,tt0028358,204
341,tt0028478,116
342,tt0028582,205
343,tt0028597,135
344,tt0028691,206
345,tt0028708,189
346,tt0028739,101
347,tt0028739,207
348,tt0028772,208
349,tt0028773,191
350,tt0028804,209
351,tt0028842,137
352,tt0028872,201
353,tt0028950,95
354,tt0028988,210
355,tt0029002,72
356,tt0029118,211
357,tt0029162,109
358,tt0029171,212
359,tt0029210,117
360,tt0029217,137
361,tt0029217,213
362,tt0029309,214
363,tt0029453,215
364,tt0029486,216
365,tt0029546,157
366,tt0029583,217
367,tt0029583,218
368,tt0029606,62
369,tt0029606,219
370,tt0029682,105
371,tt0029747,56
372,tt0029811,54
373,tt0029843,116
374,tt0029843,220
375,tt0029844,166
376,tt0029850,43
377,tt0029850,221
378,tt0029855,197
379,tt0029864,222
380,tt0029870,116
381,tt0029927,223
382,tt0029929,13
383,tt0029947,126
384,tt0029957,95
385,tt0029971,157
386,tt0029984,189
387,tt0029992,224
388,tt0030241,185
389,tt0030287,191
390,tt0030341,54
391,tt0030413,72
392,tt0030473,225
393,tt0030483,226
394,tt0030637,73
395,tt0030637,227
396,tt0030696,184
397,tt0030764,137
398,tt0030845,228
399,tt0030858,229
